sample	sample_name
SimonsL2_1905G	SimonsL2_1905G
SimonsL2_1774Q	SimonsL2_1774Q
SimonsL2_1258H	SimonsL2_1258H
SimonsL2_1774C	SimonsL2_1774C
SimonsL2_1683J	SimonsL2_1683J
SimonsL2_1685J	SimonsL2_1685J
SimonsL2_1258X	SimonsL2_1258X
SimonsL2_1867H	SimonsL2_1867H
SimonsL2_2075E	SimonsL2_2075E
SimonsL2_1539C	SimonsL2_1539C
SimonsL2_1652AAA	SimonsL2_1652AAA
SimonsL2_1869C	SimonsL2_1869C
SimonsL2_1590C	SimonsL2_1590C
SimonsL2_1435A	SimonsL2_1435A
SimonsL2_1577G	SimonsL2_1577G
SimonsL2_1419K	SimonsL2_1419K
SimonsL2_1575I	SimonsL2_1575I
SimonsL2_1624A	SimonsL2_1624A
SimonsL2_1628F	SimonsL2_1628F
SimonsL2_1830N	SimonsL2_1830N
SimonsL2_1827B	SimonsL2_1827B
SimonsL2_24A	SimonsL2_24A
SimonsL2_1827I	SimonsL2_1827I
SimonsL2_27A	SimonsL2_27A
SimonsL2_1514E2	SimonsL2_1514E2
SimonsL2_1582A	SimonsL2_1582A
SimonsL2_1582Y	SimonsL2_1582Y
SimonsL2_42A	SimonsL2_42A
SimonsL2_1840A	SimonsL2_1840A
SimonsL2_1652Z	SimonsL2_1652Z
SimonsL2_1406T	SimonsL2_1406T
SimonsL2_1399S	SimonsL2_1399S
SimonsL2_1652AA	SimonsL2_1652AA
SimonsL2_1647M	SimonsL2_1647M
SimonsL2_1652O	SimonsL2_1652O
SimonsL2_992A	SimonsL2_992A
SimonsL2_834C	SimonsL2_834C
SimonsL2_940A	SimonsL2_940A
SimonsL2_830I	SimonsL2_830I
SimonsL2_832H	SimonsL2_832H
SimonsL3_1933A	SimonsL3_1933A
SimonsL3_1906A	SimonsL3_1906A
SimonsL3_1775A	SimonsL3_1775A
SimonsL3_1327H	SimonsL3_1327H
SimonsL3_1931A	SimonsL3_1931A
SimonsL3_1931B	SimonsL3_1931B
SimonsL3_1546F	SimonsL3_1546F
SimonsL3_1693E	SimonsL3_1693E
SimonsL3_1907A	SimonsL3_1907A
SimonsL3_1519C	SimonsL3_1519C
SimonsL3_1774PP	SimonsL3_1774PP
SimonsL3_1777B	SimonsL3_1777B
SimonsL3_1763K	SimonsL3_1763K
SimonsL3_1763L	SimonsL3_1763L
SimonsL3_1774JJ	SimonsL3_1774JJ
SimonsL3_1765B	SimonsL3_1765B
SimonsL3_170A	SimonsL3_170A
SimonsL3_1765C	SimonsL3_1765C
SimonsL3_1784G	SimonsL3_1784G
SimonsL3_1774MM	SimonsL3_1774MM
SimonsL3_1777R	SimonsL3_1777R
SimonsL3_1763G	SimonsL3_1763G
SimonsL3_1784A	SimonsL3_1784A
SimonsL3_174A	SimonsL3_174A
SimonsL3_1774OO	SimonsL3_1774OO
SimonsL3_1777A	SimonsL3_1777A
SimonsL3_1397G	SimonsL3_1397G
SimonsL3_1397N	SimonsL3_1397N
SimonsL3_1398C	SimonsL3_1398C
SimonsL3_1769G	SimonsL3_1769G
SimonsL3_1900N	SimonsL3_1900N
SimonsL3_1397I	SimonsL3_1397I
SimonsL3_1654D	SimonsL3_1654D
SimonsL3_1770C2	SimonsL3_1770C2
SimonsL3_1904C	SimonsL3_1904C
SimonsL3_1395F	SimonsL3_1395F
SimonsL3_1399E	SimonsL3_1399E
SimonsL3_1770C3	SimonsL3_1770C3
SimonsL3_1397J	SimonsL3_1397J
SimonsL3_1655B	SimonsL3_1655B
SimonsL3_1769F	SimonsL3_1769F
SimonsL3_1805B	SimonsL3_1805B
SimonsL3_1281G	SimonsL3_1281G
SimonsL3_1905M	SimonsL3_1905M
SimonsL3_1843N	SimonsL3_1843N
SimonsL3_1421G	SimonsL3_1421G
SimonsL3_1944J	SimonsL3_1944J
SimonsL3_1541J	SimonsL3_1541J
SimonsL3_2075M	SimonsL3_2075M
SimonsL3_773B	SimonsL3_773B
SimonsL3_1870G	SimonsL3_1870G
SimonsL3_1573G	SimonsL3_1573G
SimonsL3_766A	SimonsL3_766A
SimonsL3_1229D	SimonsL3_1229D
SimonsL3_743A	SimonsL3_743A
SimonsL3_1517A	SimonsL3_1517A
SimonsL3_1626B	SimonsL3_1626B
SimonsL3_1549A	SimonsL3_1549A
SimonsL3_1425A	SimonsL3_1425A
SimonsL3_260B	SimonsL3_260B
SimonsL3_1419J	SimonsL3_1419J
SimonsL3_1628B	SimonsL3_1628B
SimonsL3_1074E	SimonsL3_1074E
SimonsL3_1586B	SimonsL3_1586B
SimonsL3_2107A	SimonsL3_2107A
SimonsL3_1637C	SimonsL3_1637C
SimonsL3_1582Z	SimonsL3_1582Z
SimonsL3_58A	SimonsL3_58A
SimonsL3_1652L	SimonsL3_1652L
SimonsL3_1514Q5	SimonsL3_1514Q5
SimonsL3_1840U	SimonsL3_1840U
SimonsL3_1652J	SimonsL3_1652J
SimonsL3_1399W	SimonsL3_1399W
SimonsL3_522A	SimonsL3_522A
SimonsL3_1527B	SimonsL3_1527B
SimonsL3_896A	SimonsL3_896A
SimonsL3_1011A	SimonsL3_1011A
SimonsL3_870A	SimonsL3_870A
SimonsL3_1000A	SimonsL3_1000A
SimonsL3_945A	SimonsL3_945A
SimonsL4_1713B	SimonsL4_1713B
SimonsL4_1691C	SimonsL4_1691C
SimonsL4_1518A	SimonsL4_1518A
SimonsL4_1917C1	SimonsL4_1917C1
SimonsL4_1775G	SimonsL4_1775G
SimonsL4_1777S	SimonsL4_1777S
SimonsL4_359A	SimonsL4_359A
SimonsL4_1763J	SimonsL4_1763J
SimonsL4_1775O	SimonsL4_1775O
SimonsL4_1832A	SimonsL4_1832A
SimonsL4_1763D	SimonsL4_1763D
SimonsL4_403A	SimonsL4_403A
SimonsL4_1836M	SimonsL4_1836M
SimonsL4_1753E	SimonsL4_1753E
SimonsL4_1777H	SimonsL4_1777H
SimonsL4_1760A	SimonsL4_1760A
SimonsL4_1762B	SimonsL4_1762B
SimonsL4_1779D	SimonsL4_1779D
SimonsL4_1831A	SimonsL4_1831A
SimonsL4_1757H	SimonsL4_1757H
SimonsL4_1668B	SimonsL4_1668B
SimonsL4_1769H	SimonsL4_1769H
SimonsL4_1396B	SimonsL4_1396B
SimonsL4_1397F	SimonsL4_1397F
SimonsL4_1909N	SimonsL4_1909N
SimonsL4_1770C1	SimonsL4_1770C1
SimonsL4_1900P	SimonsL4_1900P
SimonsL4_1903M	SimonsL4_1903M
SimonsL4_1666B	SimonsL4_1666B
SimonsL4_1903G	SimonsL4_1903G
SimonsL4_1669D	SimonsL4_1669D
SimonsL4_1796F	SimonsL4_1796F
SimonsL4_1909Q	SimonsL4_1909Q
SimonsL4_1657D	SimonsL4_1657D
SimonsL4_1902W	SimonsL4_1902W
SimonsL4_1774DD	SimonsL4_1774DD
SimonsL4_1811A	SimonsL4_1811A
SimonsL4_1270D	SimonsL4_1270D
SimonsL4_1541C	SimonsL4_1541C
SimonsL4_1407BB	SimonsL4_1407BB
SimonsL4_1421A	SimonsL4_1421A
SimonsL4_1539J	SimonsL4_1539J
SimonsL4_1541L	SimonsL4_1541L
SimonsL4_1652RR	SimonsL4_1652RR
SimonsL4_765A	SimonsL4_765A
SimonsL4_1872G	SimonsL4_1872G
SimonsL4_1867D	SimonsL4_1867D
SimonsL4_1870X	SimonsL4_1870X
SimonsL4_1536X	SimonsL4_1536X
SimonsL4_736A	SimonsL4_736A
SimonsL4_1843L	SimonsL4_1843L
SimonsL4_1486C	SimonsL4_1486C
SimonsL4_1748D2	SimonsL4_1748D2
SimonsL4_315A	SimonsL4_315A
SimonsL4_1626A	SimonsL4_1626A
SimonsL4_1576F	SimonsL4_1576F
SimonsL4_1514L	SimonsL4_1514L
SimonsL4_1577I	SimonsL4_1577I
SimonsL4_1752P	SimonsL4_1752P
SimonsL4_1580J	SimonsL4_1580J
SimonsL4_1582V	SimonsL4_1582V
SimonsL4_1587G	SimonsL4_1587G
SimonsL4_1840D	SimonsL4_1840D
SimonsL4_1074A	SimonsL4_1074A
SimonsL4_1637E	SimonsL4_1637E
SimonsL4_2109G	SimonsL4_2109G
SimonsL4_2106E	SimonsL4_2106E
SimonsL4_1581F	SimonsL4_1581F
SimonsL4_560E	SimonsL4_560E
SimonsL4_1855N6	SimonsL4_1855N6
SimonsL4_2056A	SimonsL4_2056A
SimonsL4_1514L5	SimonsL4_1514L5
SimonsL4_1407O	SimonsL4_1407O
SimonsL4_1401E	SimonsL4_1401E
SimonsL4_553B	SimonsL4_553B
SimonsL4_832E	SimonsL4_832E
SimonsL4_830H	SimonsL4_830H
SimonsL4_834H	SimonsL4_834H
SimonsL4_1053D	SimonsL4_1053D
SimonsL4_1049B	SimonsL4_1049B
SimonsL5_1932C	SimonsL5_1932C
SimonsL5_1934A	SimonsL5_1934A
SimonsL5_1906C	SimonsL5_1906C
SimonsL5_1546T	SimonsL5_1546T
SimonsL5_1519H	SimonsL5_1519H
SimonsL5_1929C	SimonsL5_1929C
SimonsL5_1932B	SimonsL5_1932B
SimonsL5_1906G	SimonsL5_1906G
SimonsL5_1519B	SimonsL5_1519B
SimonsL5_1758M	SimonsL5_1758M
SimonsL5_336B	SimonsL5_336B
SimonsL5_1784C	SimonsL5_1784C
SimonsL5_1753D	SimonsL5_1753D
SimonsL5_350C	SimonsL5_350C
SimonsL5_401A	SimonsL5_401A
SimonsL5_1783D	SimonsL5_1783D
SimonsL5_181A	SimonsL5_181A
SimonsL5_1763F	SimonsL5_1763F
SimonsL5_1763M	SimonsL5_1763M
SimonsL5_1753G	SimonsL5_1753G
SimonsL5_1765A	SimonsL5_1765A
SimonsL5_171A	SimonsL5_171A
SimonsL5_1836J	SimonsL5_1836J
SimonsL5_1904B3	SimonsL5_1904B3
SimonsL5_1398K	SimonsL5_1398K
SimonsL5_1797F	SimonsL5_1797F
SimonsL5_1654B	SimonsL5_1654B
SimonsL5_1770B	SimonsL5_1770B
SimonsL5_1771B2	SimonsL5_1771B2
SimonsL5_1790C	SimonsL5_1790C
SimonsL5_1909O	SimonsL5_1909O
SimonsL5_1797C	SimonsL5_1797C
SimonsL5_1791C	SimonsL5_1791C
SimonsL5_1683B	SimonsL5_1683B
SimonsL5_1683D	SimonsL5_1683D
SimonsL5_1774L	SimonsL5_1774L
SimonsL5_1258D	SimonsL5_1258D
SimonsL5_1258F	SimonsL5_1258F
SimonsL5_1800A	SimonsL5_1800A
SimonsL5_1258G	SimonsL5_1258G
SimonsL5_1281B	SimonsL5_1281B
SimonsL5_1327C	SimonsL5_1327C
SimonsL5_1283F	SimonsL5_1283F
SimonsL5_772C	SimonsL5_772C
SimonsL5_1571B	SimonsL5_1571B
SimonsL5_1421B	SimonsL5_1421B
SimonsL5_1867A	SimonsL5_1867A
SimonsL5_1572D	SimonsL5_1572D
SimonsL5_1572K	SimonsL5_1572K
SimonsL5_1899A	SimonsL5_1899A
SimonsL5_1573N	SimonsL5_1573N
SimonsL5_759A	SimonsL5_759A
SimonsL5_1870H	SimonsL5_1870H
SimonsL5_766B	SimonsL5_766B
SimonsL5_1873J	SimonsL5_1873J
SimonsL5_1566T	SimonsL5_1566T
SimonsL5_1487F	SimonsL5_1487F
SimonsL5_1574E	SimonsL5_1574E
SimonsL5_1562C	SimonsL5_1562C
SimonsL5_1562V	SimonsL5_1562V
SimonsL5_1566R	SimonsL5_1566R
SimonsL5_1068A	SimonsL5_1068A
SimonsL5_1839E	SimonsL5_1839E
SimonsL5_1587B	SimonsL5_1587B
SimonsL5_2107C	SimonsL5_2107C
SimonsL5_1514V4	SimonsL5_1514V4
SimonsL5_114A	SimonsL5_114A
SimonsL5_1649F	SimonsL5_1649F
SimonsL5_1581E	SimonsL5_1581E
SimonsL5_1641Q	SimonsL5_1641Q
SimonsL5_1534K	SimonsL5_1534K
SimonsL5_1647A	SimonsL5_1647A
SimonsL5_519A	SimonsL5_519A
SimonsL5_1514U5	SimonsL5_1514U5
SimonsL5_1842A	SimonsL5_1842A
SimonsL5_834O	SimonsL5_834O
SimonsL5_1001A	SimonsL5_1001A
SimonsL5_860A	SimonsL5_860A
SimonsL5_884A	SimonsL5_884A
