sample	sample_name
SimonsH2_1527O	SimonsH2_1527O
SimonsH2_1892A	SimonsH2_1892A
SimonsH2_857A	SimonsH2_857A
SimonsH2_819A	SimonsH2_819A
SimonsH2_835C	SimonsH2_835C
SimonsH2_837A	SimonsH2_837A
SimonsH2_830A	SimonsH2_830A
SimonsH2_841A	SimonsH2_841A
SimonsH2_834K	SimonsH2_834K
SimonsH2_1053H	SimonsH2_1053H
SimonsH2_1167A	SimonsH2_1167A
SimonsH2_1006A	SimonsH2_1006A
SimonsH2_1106C	SimonsH2_1106C
SimonsH2_1049A	SimonsH2_1049A
SimonsH2_892A	SimonsH2_892A
SimonsH2_928A	SimonsH2_928A
SimonsH2_1006B	SimonsH2_1006B
SimonsH2_834F	SimonsH2_834F
SimonsH2_837H	SimonsH2_837H
SimonsH2_831E	SimonsH2_831E
SimonsH3_139A	SimonsH3_139A
SimonsH3_400A	SimonsH3_400A
SimonsH3_230A	SimonsH3_230A
SimonsH3_1777E	SimonsH3_1777E
SimonsH3_1327D	SimonsH3_1327D
SimonsH3_1779B	SimonsH3_1779B
SimonsH3_1759D	SimonsH3_1759D
SimonsH3_1762A	SimonsH3_1762A
SimonsH3_1905A	SimonsH3_1905A
SimonsH3_344A	SimonsH3_344A
SimonsH3_1760D	SimonsH3_1760D
SimonsH3_1758K	SimonsH3_1758K
SimonsH3_1905K	SimonsH3_1905K
SimonsH3_1395P	SimonsH3_1395P
SimonsH3_1901D	SimonsH3_1901D
SimonsH3_187A	SimonsH3_187A
SimonsH3_1519J3	SimonsH3_1519J3
SimonsH3_1915B	SimonsH3_1915B
SimonsH3_1547B	SimonsH3_1547B
SimonsH3_1900R	SimonsH3_1900R
SimonsH3_1327E	SimonsH3_1327E
SimonsH3_1519G	SimonsH3_1519G
SimonsH3_1905U	SimonsH3_1905U
SimonsH3_1397S	SimonsH3_1397S
SimonsH3_1900Q	SimonsH3_1900Q
SimonsH3_1399D	SimonsH3_1399D
SimonsH3_1904E	SimonsH3_1904E
SimonsH3_1906L	SimonsH3_1906L
SimonsH3_1910D	SimonsH3_1910D
SimonsH3_1682D	SimonsH3_1682D
SimonsH3_1519L	SimonsH3_1519L
SimonsH3_294A	SimonsH3_294A
SimonsH3_262A	SimonsH3_262A
SimonsH3_366A	SimonsH3_366A
