sample_id,reads,notes
SimonsH3_262A,4254,
SimonsH3_294A,1123,
SimonsH3_326B,6114,
SimonsH3_344A,2,
SimonsH3_366A,75,
SimonsH3_515A,20,
SimonsH3_575A,4,
SimonsH3_830G,28278,
SimonsH3_831C,332,
SimonsH3_834G,39,
SimonsH3_835A,29,
SimonsH3_866A,4575,
SimonsH3_889A,4146,
SimonsH3_950A,2,
SimonsH3_997A,16696,
SimonsH4_01A,130,
SimonsH4_1007A,26,
SimonsH4_1010A,3797,
SimonsH4_1048A,125,
SimonsH4_1048C,34,
SimonsH4_1053C,13180,
SimonsH4_1059A,8795,
SimonsH4_1065A,81,
SimonsH4_1067A,173,
SimonsH4_1123A,8,
SimonsH4_1124A,3,
SimonsH4_1128A,5,
SimonsH4_1137A,35,
SimonsH4_1160A,70,
SimonsH4_1177A,6851,
SimonsH4_1324A,70,
SimonsH4_1401R,8257,
SimonsH4_1404A,279,
SimonsH4_142A,11,
SimonsH4_145A,1,
SimonsH4_1520E,39,
SimonsH4_1527L,28,
SimonsH4_1534N,57,
SimonsH4_1536T,10110,
SimonsH4_1571L,28,
SimonsH4_1572L,8346,
SimonsH4_1572Z,160,
SimonsH4_1573O,4,
SimonsH4_1575D,89,
SimonsH4_1577E,132,
SimonsH4_1579A,23,
SimonsH4_1579E,59,
SimonsH4_1659B,13609,
SimonsH4_1696A,23,
SimonsH4_1744B,155,
SimonsH4_1746B2,4807,
SimonsH4_1746E,4127,
SimonsH4_1748H,25996,
SimonsH4_1758F,828,
SimonsH4_1764A,219,
SimonsH4_1764B,30,
SimonsH4_1765H,260,
SimonsH4_1768A,23,
SimonsH4_1771A,51,
SimonsH4_1771B1,23,
SimonsH4_1777I,2327,
SimonsH4_1777N,145,
SimonsH4_1779A,720,
SimonsH4_1779C,59,
SimonsH4_1797E,9,
SimonsH4_1841A,159,
SimonsH4_1873H,40,
SimonsH4_1900C,60,
SimonsH4_1900D,65,
SimonsH4_1905D,40,
SimonsH4_1905L,5,
SimonsH4_1906E,42,
SimonsH4_1949E,764,
SimonsH4_2053A,1,
SimonsH4_2083C,2450,
SimonsH4_2086B,352,
SimonsH4_2092A,244,
SimonsH4_209A,49,
SimonsH4_274C,13209,
SimonsH4_341A,25,
SimonsH4_347A,16,
SimonsH4_416A,9,
SimonsH4_437A,9957,
SimonsH4_45A,65,
SimonsH4_479C,5245,
SimonsH4_543A,11541,
SimonsH4_547A,84,
SimonsH4_553A,131,
SimonsH4_738A,8,
SimonsH4_803A,9698,
SimonsH4_818C,7290,
SimonsH4_834B,8116,
SimonsH4_835B,13,
